nam,track,dat,genre,imag
Jacob Collier,With The Love In My Heart,2021-09-30 17:26:06.233,indie soul,https://i.scdn.co/image/ab67616d0000b273743022e9c8fb580e3dabc397
insaneintherainmusic,"Pigstep (From ""Minecraft"")",2021-09-30 17:32:08.492,otacore,https://i.scdn.co/image/ab67616d0000b273aa03f00200d7cee104986991
ZOMBIE-CHANG,Lemonade,2021-09-30 17:36:51.515,j-indie,https://i.scdn.co/image/ab67616d0000b273db5f969f6fb5c68bf2d56faa
Esperanza Spalding,Formwela 2 [Feat. Ganavya],2021-09-30 17:59:52.560,electric bass,https://i.scdn.co/image/ab67616d0000b273d8876e668069f2ca26ad6722
Esperanza Spalding,Formwela 3,2021-09-30 18:06:58.808,electric bass,https://i.scdn.co/image/ab67616d0000b273d8876e668069f2ca26ad6722
Esperanza Spalding,Formwela 4,2021-09-30 18:19:45.143,electric bass,https://i.scdn.co/image/ab67616d0000b273d8876e668069f2ca26ad6722
Led Zeppelin,Stairway to Heaven - Remaster,2021-09-30 18:32:39.847,album rock,https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69
Steven Wilson,Luminol - Live,2021-09-30 18:37:12.528,art rock,https://i.scdn.co/image/ab67616d0000b2733a37c1a734f7d05e02fb20e0
The Doors,Riders on the Storm,2021-09-30 18:47:57.038,acid rock,https://i.scdn.co/image/ab67616d0000b27320783882533e669760741df2
Esperanza Spalding,Formwela 1,2021-10-01 19:21:03.327,electric bass,https://i.scdn.co/image/ab67616d0000b273d8876e668069f2ca26ad6722
Kiltro,Curicó,2021-10-01 19:50:08.192,none,https://i.scdn.co/image/ab67616d0000b2733003515eb745f18d09b4206f
Daikaiju,Attack of the Crab Women,2021-10-01 19:53:26.178,surf music,https://i.scdn.co/image/ab67616d0000b273494612456a2346fdf7af2f94
Shinjuku Mad,Resistor,2021-10-01 19:56:31.923,canadian post-punk,https://i.scdn.co/image/ab67616d0000b2730cb555362c4087379b71a735
Daikaiju,Attack of the Crab Women,2021-10-01 20:09:34.228,surf music,https://i.scdn.co/image/ab67616d0000b273494612456a2346fdf7af2f94
Shinjuku Mad,Resistor,2021-10-01 20:12:40.359,canadian post-punk,https://i.scdn.co/image/ab67616d0000b2730cb555362c4087379b71a735
Kashmere Stage Band,All Praises,2021-10-01 20:18:02.375,deep funk,https://i.scdn.co/image/ab67616d0000b2734f5d03bf896adc807260f1a1
The Mattson 2,Wavelength,2021-10-01 20:18:54.412,instrumental funk,https://i.scdn.co/image/ab67616d0000b27339c8faf1e0f147de8931ba6f
72-HOUR POST FIGHT,NOT,2021-10-01 20:36:51.783,milan indie,https://i.scdn.co/image/ab67616d0000b273b872d9af7f06aee3618e2a23
Daikaiju,Attack of the Crab Women,2021-10-02 09:10:03.466,surf music,https://i.scdn.co/image/ab67616d0000b273494612456a2346fdf7af2f94
Claude Debussy,Prélude à l'après-midi d'un faune,2021-10-02 09:46:40.540,classical,https://i.scdn.co/image/ab67616d0000b273a8c0badd2b044c98b103ef10
Nai Palm,Atari,2021-10-02 11:35:08.161,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Nai Palm,Crossfire / So Into You,2021-10-02 11:39:35.844,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Nai Palm,Haiku,2021-10-02 11:41:51.691,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Nai Palm,Mobius,2021-10-02 11:47:27.990,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Nai Palm,Molasses,2021-10-02 11:52:42.652,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Nai Palm,Have You Ever Been (To Electric Ladyland),2021-10-02 11:57:02.578,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
